project,mode,city,year,mode_full,length_miles,at_grade_miles,elevated_miles,below_grade_miles,tunnel_miles,tunnel_pct,project_cost,cost_per_mile,hard_costs_row,hard_costs,soft_costs,soft_hard_pct,vehicles,avg_cost_per_vehicle,stations,avg_cost_per_station,vehicle_costs,row_costs,systems_costs,sitework_costs,facilities_costs,station_costs,guideway_costs,soft_costs_pct,vehicle_costs_pct,row_costs_pct,systems_costs_pct,sitework_costs_pct,facilities_costs_pct,station_costs_pct,guideway_costs_pct,soft_costs_per_mile,row_costs_per_mile,system_costs_per_mile,sitework_costs_per_mile,facility_costs_per_mile,guideway_costs_per_mile,length_km,at_grade_km,elevated_km,below_grade_km,tunnel_km,cost_per_km,soft_costs_per_km,row_costs_per_km,system_costs_per_km,sitework_costs_per_km,facility_costs_per_km,guideway_costs_per_km,vehicle_costs_per_km,row_costs_per_km_direct,systems_costs_per_km,sitework_costs_per_km_direct,facilities_costs_per_km,station_costs_per_km,guideway_costs_per_km_direct,soft_costs_per_km_direct,hard_costs_per_km,project_cost_2023,cost_per_mile_2023,hard_costs_+_row_2023,hard_costs_2023,soft_costs_2023,avg_cost_per_vehicle_2023,avg_cost_per_station_2023,vehicle_costs_2023,row_costs_2023,systems_costs_2023,sitework_costs_2023,facilities_costs_2023,station_costs_2023,guideway_costs_2023,soft_costs_per_mile_2023,row_costs_per_mile_2023,system_costs_per_mile_2023,sitework_costs_per_mile_2023,facility_costs_per_mile_2023,guideway_costs_per_mile_2023,cost_per_km_2023,soft_costs_per_km_2023,row_costs_per_km_2023,system_costs_per_km_2023,sitework_costs_per_km_2023,facility_costs_per_km_2023,guideway_costs_per_km_2023,vehicle_costs_per_km_2023,row_costs_per_km_direct_2023,systems_costs_per_km_2023,sitework_costs_per_km_direct_2023,facilities_costs_per_km_2023,station_costs_per_km_2023,guideway_costs_per_km_direct_2023,soft_costs_per_km_direct_2023,hard_costs_per_km_2023
Atlanta MARTA - North South Line,HRT,"Atlanta, GA",1984,Heavy Rail Transit,22.2,8.5,6.7,7.0,7.0,0.32,4039036247,181938570,2721543689,2520176519,793062910,0.31,169,3103134.0,18,48317796.0,524429647,201367170,287396272,208768083,68518862,869720334,1085772969,0.2,0.13,0.05,0.07,0.05,0.02,0.22,0.27,35723555,9070593,12945778,9403968,3086435,48908692,35.727348,13.67939,10.782578,11.26538,11.26538,113051667.14305243,22197643.133209888,5636219.195446581,8044153.503920862,5843369.33152721,1917826.5624417462,30390527.79400251,14678661.48363433,5636219.3465913,8044153.515116767,5843369.146794775,1917826.7023905609,24343265.948538918,30390527.978734948,22197642.825322494,70539143.26358621,4541840139.253032,204587394.01461414,3060338063.7180424,2833903478.9546366,891788223.0609292,3489431.0664206366,54332690.24907554,589713851.3495737,226434584.76340553,323173114.62871903,234756808.5997195,77048508.28181717,977988431.2302763,1220936617.3385909,40170641.235598035,10199755.796900025,14557347.485537143,10574631.352312064,3470653.272945344,54997144.59085507,127125028.90291308,24960941.277541123,6337850.172679499,9045538.845450398,6570787.622448994,2156569.322172657,34173726.24234473,16505950.885287477,6337850.342639636,9045538.858040037,6570787.414719936,2156569.4795431546,27373664.320964333,34173726.45007379,24960940.931326028,79320286.49186715
Atlanta MARTA - Line Dunwoody Extension,HRT,"Atlanta, GA",1999,Heavy Rail Transit,1.85,0.67,0.38,0.8,0.8,0.43,751683392,406315347,350035827,306672257,195248447,0.64,56,3685699.0,2,65517379.0,206399118,43363570,29775521,37324120,0,131034759,108537858,0.26,0.27,0.06,0.04,0.05,,0.17,0.14,105539701,23439767,16094876,20175200,0,58669112,2.9772790000000002,1.0782578,0.6115492,1.2874720000000002,1.2874720000000002,252473279.10820585,65579492.83557235,14564832.167223832,10000917.146159295,12536319.236457182,0.0,36455386.68025402,69324748.53717102,14564832.519894842,10000917.280510155,12536319.23645718,0.0,44011582.051934,36455386.94895574,65579492.88595392,103004205.18197991,845257530.0187621,456895962.14191234,393610423.87922645,344848691.93052363,219554165.76666787,4144517.3144554743,73673382.35250396,232092940.37286782,48761731.948702805,33482159.647717457,41970454.339004315,0.0,147346765.82949403,122049313.23879395,118677927.35026754,26357692.307022914,18098464.431309737,22686732.075137466,0.0,65972601.26443517,283902694.3603666,73743228.49756269,16377951.400588388,11245892.37284212,14096916.795169119,0.0,40993575.79158859,77954716.49545367,16377951.79716204,11245892.523917796,14096916.795169117,0.0,49490412.49728159,40993576.093739934,73743228.55421607,115826797.53241923
Baltimore MDMTA - Metro Sections A and B,HRT,"Baltimore, MD",1982,Heavy Rail Transit,15.0,6.0,3.0,6.0,6.0,0.4,2569356073,171290405,1829591852,1777199086,523330272,0.29,100,2164339.0,12,60472632.0,216433949,52392766,222453810,150313560,37896671,725671579,640863467,0.2,0.08,0.02,0.09,0.06,0.01,0.28,0.25,34888685,3492851,14830254,10020904,2526445,42724231,24.1401,9.65604,4.82802,9.65604,9.65604,106435187.71670374,21678877.67656306,2170362.3845800143,9215115.513191743,6226716.5421849955,1569864.043645221,26547672.33772851,8965743.679603647,2170362.4260048633,9215115.513191743,6226716.542184995,1569863.8779458245,30060835.663481094,26547672.420578208,21678877.552288514,73620203.97595702,2889205204.1009927,192613680.423331,2057350616.2604861,1998435678.8661916,588477619.4373693,2433769.133033177,68000634.44537771,243376968.40313685,58914937.39429457,250146218.45451525,169025509.68417168,42614279.98317894,816007607.722102,720642064.1467099,39231841.520721845,3927662.4179872307,16676414.563634349,11268367.31227811,2840952.2987415576,48042804.12651584,119684889.72083648,24377596.72954245,2440542.3453013226,10362269.354912167,7001856.2344054775,1765290.3045606012,29852488.67642378,10081854.192946047,2440542.39188299,10362269.354912167,7001856.234405477,1765290.1182339322,33802992.02248963,29852488.769587114,24377596.58979745,82784896.45304666
Boston MBTA - Orange Line,HRT,"Boston, MA",1983,Heavy Rail Transit,4.7,0.0,0.0,4.7,0.53,0.11,2325536328,494794963,1631846465,1559464803,483016325,0.31,120,1755613.0,9,48094000.0,210673538,72381662,138774998,281961550,0,432846003,705882253,0.21,0.09,0.03,0.06,0.12,,0.19,0.3,102769431,15400354,29526595,59991819,0,150187713,7.563898,0.0,0.0,7.563898,0.8529502,307452100.23984987,63858122.584413484,9569360.110355798,18347021.1391005,37277280.748629875,0.0,93322550.23798576,27852509.116331287,9569359.872383261,18347021.33741095,37277280.84117475,0.0,57225256.47490223,93322550.48917899,63858122.49186861,206172109.01045996,2615033288.6085396,556390060.9514928,1834988676.1576188,1753596502.9475808,543145146.1790973,1974162.425087648,54081034.75661512,236899466.27182344,81392173.210038,156050557.03803372,317061845.252611,0.0,486729316.18299437,793754785.5984278,115562797.22685905,17317484.092364468,33202245.819426503,67459966.90754695,0.0,168883996.48125622,345725614.8181818,71807571.56776011,10760612.482362004,20630970.34773665,41917784.25164785,0.0,104939911.0699145,31319759.503872663,10760612.214765193,20630970.570733994,41917784.355713286,0.0,64349005.788152404,104939911.3523778,71807571.46369468,231837671.9183126
Charlotte South Light Rail Line,LRT,"Charlotte, NC",2006,Light Rail Transit,9.6,6.8,1.0,1.8,0.0,0.0,604745916,62994366,417068873,368909746,117101159,0.32,16,4410993.0,8,11191375.0,70575884,48159127,82356012,6698869,36783538,89531001,153540327,0.19,0.12,0.08,0.14,0.01,0.06,0.15,0.25,12198037,5016576,8578751,697799,3831619,15993784,15.449663999999999,10.943512,1.60934,2.896812,0.0,39142981.59493954,7579527.632445599,3117163.557731741,5330601.985907266,433593.27426149853,2380863.583829396,9938101.333465893,4568117.727349929,3117163.389443292,5330602.141250451,433593.18364464113,2380863.2990335585,5795012.823579853,9938101.37230169,7579527.878405641,23878172.755083866,680028379.8835,70836289.29007639,468988152.71375424,414833883.550548,131678626.2302764,4960100.339838358,12584545.688637117,79361600.93946931,54154269.16320626,92608191.19616193,7532785.112883344,41362577.39113554,100676366.63358304,172653964.34127024,13716523.12054471,5641070.009048971,9646686.301812008,784665.2799129054,4308602.326966085,17984787.88193527,44015738.93029216,8523073.508733213,3505207.10915591,5994187.86695913,487569.6123335687,2677248.0190426414,11175256.864264399,5136784.912569575,3505206.919917887,5994188.041640384,487569.51043617167,2677247.6987936795,6516411.401153,11175256.907934714,8523073.785311863,26850673.48717409
Chicago CTA - O'Hare Blue Line Extension,HRT,"Chicago, IL",1981,Heavy Rail Transit,7.13,6.08,0.57,0.47,0.47,0.07,582510272,81738446,521708587,521708587,60801685,0.12,0,,4,47699461.0,0,0,104815402,12763206,53323689,190797844,160008447,0.1,,,0.18,0.02,0.09,0.33,0.27,8531756,0,14707806,1790946,7482435,22452551,11.4745942,9.7847872,0.9173237999999999,0.7563898,0.7563898,50790041.88052245,5301400.574148409,0.0,9139029.664334448,1112845.017212025,4649381.1127542965,13951403.059639355,0.0,0.0,9134562.858876526,1112301.2960231744,4647108.914753604,16627851.118255667,13944584.375803024,5298809.172702596,45466408.47656295,655024707.1592574,91913746.80994943,586654057.1874155,586654057.1874155,68370649.9718419,,53637381.13304793,0.0,0.0,117863463.1885596,14352047.80828874,59961747.37305974,214549524.53219172,179927275.4098018,9593841.077285308,0.0,16538723.4889914,2013893.892652323,8413894.192604346,25247581.63192235,57112696.39103573,5961351.285176102,0.0,10276711.875049027,1251378.7593997063,5228164.460340478,15688158.892416986,0.0,0.0,10271689.014375743,1250767.3524775926,5225609.405259816,18697787.546351027,15680491.377185417,5958437.290256582,51126344.597651705
Chicago CTA - Southwest Orange Line,HRT,"Chicago, IL",1990,Heavy Rail Transit,9.0,0.0,9.0,0.0,0.0,0.0,971388915,107932102,655424834,615559446,168002437,0.27,88,1681382.0,8,28312387.0,147961645,39865388,116497568,57995829,42261192,226499096,172305760,0.17,0.15,0.04,0.12,0.06,0.04,0.23,0.18,18666937,4429488,12944174,6443981,4695688,19145084,14.48406,0.0,14.48406,0.0,0.0,67066065.59210608,11599125.728559533,2752363.080517479,8043156.8220512755,4004114.1088893586,2917772.503013658,11896233.23847043,10215481.3636508,2752362.8043518187,8043156.960134107,4004114.1088893586,2917772.503013658,15637818.125580812,11896233.51463609,11599126.004725195,42499095.28129544,1092313337.9279256,121368149.0334871,737016119.014902,692188044.1196146,188916406.09209135,1890690.6969922867,31836885.794272427,166380813.9454183,44828074.8952873,130999896.5373879,65215503.88588404,47522123.20472377,254695086.3541794,193755433.01295346,20990711.288238548,4980897.71035908,14555543.809823964,7246167.09843156,5280235.911635974,21528380.946112115,75414858.90705948,13043055.717398778,3094994.041258578,9044418.090536471,4502570.680174208,3280994.6385698323,13377148.984125242,11487166.85414299,3094993.73071413,9044418.245808696,4502570.680174208,3280994.6385698323,17584509.20212837,13377149.29466969,13043056.027943227,47789642.13898691
Cleveland - Euclid Ave BRT,BRT,"Cleveland, OH",2007,Bus Rapid Transit,9.38,9.38,0.0,0.0,0.0,0.0,254722935,27156182,172938720,151218464,55385347,0.37,20,1319943.0,89,294267.0,26398868,21720256,12572134,42029088,2430787,26189768,67996687,0.22,0.1,0.09,0.05,0.16,0.01,0.1,0.27,5904669,2315611,1340324,4480749,259148,7249172,15.095609200000002,15.095609200000002,0.0,0.0,0.0,16874111.126300223,3669000.3355412777,1438857.5440863958,832840.7918774156,2784215.268370885,161027.50195732413,4504437.844085153,1748777.9161638601,1438845.939387461,832833.8282631215,2784192.902927031,161026.09492566882,1734926.2062242574,4504401.650779353,3668970.6434636633,10017380.683119431,286432401.1527844,30536749.336694095,194467187.7382736,170043061.65895855,62280053.148296855,1484257.5635162564,330899.1527992028,29685160.26621397,24424126.07931505,14137189.999143815,47261125.48169908,2733386.2068642285,29450030.22155958,76461329.74969184,6639718.247916743,2603872.395180278,1507175.7148319,5038539.992611728,291408.325261099,8151593.190183414,18974703.50373078,4125739.8982916865,1617975.3160800566,936517.8985372265,3130811.3839286463,181073.1885500261,5065177.768640197,1966476.468284166,1617962.2667573462,936510.068049709,3130786.2342977896,181071.60636247974,1950900.4129200415,5065137.069770714,4125706.5099629667,11264405.391400734
Denver - Southwest Corridor,LRT,"Denver, CO",1999,Light Rail Transit,8.46,7.04,1.13,0.3,0.0,0.0,288047943,34034353,181026178,118244413,53836177,0.46,18,2954755.0,5,6180588.0,53185588,62781765,18867059,2277059,650588,30902941,65546766,0.19,0.18,0.22,0.07,0.01,,0.11,0.23,6361022,7417990,2229241,269046,76870,7744689,13.615016400000002,11.3297536,1.8185542,0.48280199999999995,0.0,21148019.063715562,3952565.6480296273,4609336.7467409,1385189.5808219519,167177.8493046839,47764.922266270645,4812338.598431655,3906391.769017626,4611214.790751188,1385753.674156426,167246.1444849967,47784.591724766484,2269768.914857862,4814299.452478074,3954176.434190707,8684852.777702125,323905909.61355865,38271157.057260945,203561421.88786948,132964199.46830276,60538033.00828136,3322580.9425766687,6949985.3296527285,59806454.71740782,70597222.41956674,21215745.696638003,2560521.206842086,731577.1663874229,34749927.772749744,73706427.6256855,7152880.855607632,8341426.685537144,2506750.530250581,302538.48873307003,86439.24692770417,8708795.171709044,23780653.5954248,4444605.152178925,5183135.127155942,1557626.4370801577,187989.16868596448,53710.99141741594,5411407.8887674725,4392683.266794141,5185246.961550977,1558260.7521969639,188065.965667297,53733.10945019669,2552323.607392037,5413612.8418975305,4446416.458835947,9765996.276604025
"Mason Corridor Fort Collins, Co",BRT,"Fort Collins, CO",2013,Bus Rapid Transit,5.0,4.54,0.03,0.43,0.0,0.0,96617992,19323598,73506910,60095490,18029229,0.3,5,1016371.0,17,808749.0,5081853,13411420,15365555,19570437,3315052,13748741,8095705,0.19,0.05,0.14,0.16,0.2,0.03,0.14,0.08,3605846,2682284,3073111,3914087,663010,1619141,8.0467,7.3064036,0.048280199999999995,0.6920162,0.0,12007156.971180733,2240574.3969577593,1666698.1495519902,1909547.3920986243,2432106.950675432,411976.3381261884,1006090.0741919047,631544.9811724061,1666698.1495519904,1909547.3920986245,2432107.199224527,411976.58667528303,1708618.5641318802,1006090.0741919049,2240574.272683212,7468339.81632222,108645589.54269475,21729117.458744507,82657498.95124921,67576543.50658745,20273617.50288962,1142895.0675056279,909427.0133151271,5714473.088555928,15080955.44466177,17278353.100380115,22006684.48453334,3727729.912920249,15460268.222246004,9103507.786507731,4054723.7254751446,3016191.088932354,3455670.620076023,4401336.447112226,745545.5327896076,1820701.5573015462,13501881.180325171,2519494.7776573906,1874178.9111886574,2147259.510156973,2734870.4730586614,463261.66800651676,1131334.3092830267,710163.5563095341,1874178.9111886576,2147259.5101569733,2734870.752548665,463261.9474965202,1921317.8349194084,1131334.3092830267,2519494.637912389,8398044.354404593
Hartford New Britain Busway,BRT,"Hartford, CT",2012,Bus Rapid Transit,9.4,4.4,0.53,4.47,0.0,0.0,657676314,69965565,440299850,384759034,193445167,0.5,48,498569.0,10,3783409.0,23931297,55540816,19261300,152998809,0,37834089,174664835,0.29,0.04,0.08,0.03,0.23,,0.06,0.27,20579273,5908597,2049074,16276469,0,18581365,15.127796,7.0810960000000005,0.8529502,7.1937498,0.0,43474694.59529994,12787399.18227348,3671441.0876508383,1273238.718977966,10113754.085525744,0.0,11545953.620738937,1581942.0753690756,3671441.365285465,1273239.0098332895,10113754.111967137,0.0,2500965.044742803,11545953.885152867,12787399.235156264,25433912.11779958,739547876.9916521,78675305.70406318,495111063.5668155,432656187.6881868,217526402.46239066,560633.9131195334,4254390.851821234,26910410.962446027,62454875.87862863,21659064.223345757,172045034.87440675,0.0,42543907.39372624,196408180.072222,23141106.54923423,6644135.229339041,2304155.2420858396,18302663.236660883,0.0,20894486.763221018,48886690.01209389,14379252.705602441,4128484.490125791,1431739.2484408761,11372775.943343783,0.0,12983264.420955807,1778871.883415537,4128484.8023220715,1431739.575503646,11372775.973076763,0.0,2812300.443086768,12983264.718285598,14379252.765068397,28600080.784285225
Southeast Houston Light Rail,LRT,"Houston, TX",2011,Light Rail Transit,6.56,6.42,0.14,0.0,0.0,0.0,873067198,133089512,502148407,429235301,238208673,0.55,29,4576211.0,10,1569763.0,132710117,72913106,101997879,240232464,2039452,15697634,69267873,0.27,0.15,0.08,0.12,0.28,,0.02,0.08,36312298,11114803,15548457,36620803,310892,10559127,10.5572704,10.3319628,0.22530760000000002,0.0,0.0,82698194.29082729,22563471.982303303,6906435.557433482,9661387.276771845,22755168.57842345,193179.8128425317,6561153.6406228645,12570495.210580189,6906435.398301439,9661387.379071014,22755168.229848504,193179.8583088295,1486902.7130346117,6561153.629256289,22563471.804226972,40657791.714797795,981751933.2951839,149657307.02817285,564658906.556866,482669131.95299107,267862342.9916448,5145885.685212385,1765176.6823855038,149230682.62218696,81989774.60387497,114695197.7232092,270138067.85152596,2293335.436778979,17651771.32179946,77890760.74416356,40832674.55879248,12498441.538568845,17484023.858043324,41179584.144761406,349593.7343026903,11873591.597424068,92992970.42773612,25372310.735327825,7766190.822678144,10864095.752322894,25587870.89413139,217228.0153992881,7377926.104753545,14135347.203211442,7766190.643736373,10864095.867356887,25587870.5021637,217228.06652550824,1672001.4409974248,7377926.091971989,25372310.535083465,45719121.86250255
Los Angeles - Long Beach Blue Line,LRT,"Los Angeles, CA",1987,Light Rail Transit,22.59,18.23,3.64,0.72,0.62,0.03,2092551168,92625690,1399037107,1255716869,502835313,0.4,54,3531088.0,22,6223782.0,190678748,143320238,274961190,383651362,105441535,136923207,354739574,0.24,0.09,0.07,0.13,0.18,0.05,0.07,0.17,22257744,6343996,12171014,16982128,4667315,15702363,36.3549906,29.3382682,5.8579976,1.1587247999999999,0.9977908,57555078.47937664,13830355.300930817,3941986.1558154277,7562736.276983111,10552231.349497309,2900142.294356693,9757020.26917867,5244912.592550636,3942243.846983693,7563230.947445218,10552921.501786882,2900331.791036139,3766283.6584532084,9757658.251189316,13831259.60703728,34540426.1774173,2353044713.4071517,104156301.41484296,1573197787.8625455,1412036171.598472,565431322.8096321,3970659.393202199,6998556.382492526,214415602.73497432,161161616.2640735,309190037.6993025,431410625.9147654,118567541.0472377,153968243.7882939,398899722.0243864,25028523.867173485,7133735.355175849,13686136.132516513,19096166.977362808,5248330.867365391,17657089.01659224,64719886.04946311,15552042.369650593,4432708.660181099,8504191.862823589,11865837.534245595,3261169.713898487,10971633.723509166,5897831.334743196,4432998.430319317,8504748.112885015,11866613.60090588,3261382.800281557,4235133.643200389,10972351.125415679,15553059.249302406,38840229.31361924
Los Angeles - Red Line Segment 1,HRT,"Los Angeles, CA",1988,Heavy Rail Transit,3.35,0.51,0.0,2.84,2.46,0.73,3243546100,967566294,1888819789,1563826466,1229663234,0.79,30,4168769.0,5,153155542.0,125063077,324993323,197796647,44266832,122077045,765777712,433908230,0.38,0.04,0.1,0.06,0.01,0.04,0.24,0.13,366814795,96947161,59003746,13205021,36416203,129437031,5.391289,0.8207634,0.0,4.5705256,3.9589764,601219315.9928916,227928713.01278785,60240322.740999416,36663319.12461009,8205240.036288168,22628035.7165049,80428642.17629588,23197249.674428508,60281191.195649125,36688192.19299874,8210806.729151414,22643387.32351391,142039818.6778709,80483207.26267873,228083345.9308154,290065412.1862137,3647322521.9109125,1088014853.7269366,2123951608.4728124,1758501132.3878362,1382739221.0439088,4687722.817426283,172221278.95517585,140631692.39419124,365450476.08497614,222419581.260634,49777437.517304495,137273940.89969367,861106397.0248514,487923775.68535256,412478140.2594014,109015735.50954717,66348892.547854,14848862.636978261,40949514.287581645,145550142.893169,676062767.1759458,256302670.82120705,67739405.91145884,41227392.93614401,9226678.412876248,25444911.757354967,90440890.60929883,26084984.944081318,67785361.9208646,41255362.355947524,9232938.081654403,25462174.42613328,159721802.52716026,90502248.29078028,256476553.38897777,326174525.68167573
Los Angeles - Red Line Segment 2A and 2B,HRT,"Los Angeles, CA",1994,Heavy Rail Transit,6.65,0.0,0.0,6.65,6.65,1.0,3179375848,477911077,2043623925,1880895652,1030271090,0.55,30,3516028.0,8,154860063.0,105480832,162728273,165400492,110355367,3662300,1238880506,362596988,0.32,0.03,0.05,0.05,0.03,,0.39,0.11,154866235,24460664,24862341,16588178,550502,54504131,10.702111,0.0,0.0,10.702111,10.702111,296960913.7907465,96229656.25660208,15199189.72995141,15448780.866690693,10307441.559894118,342066.93427119195,33867381.03818957,9856077.179539625,15205249.973579979,15454940.80560368,10311551.337862222,342203.5148018928,115760386.52561162,33880884.62173491,96268025.06533524,175749966.7121748,3575163965.152216,537404365.7381037,2298026708.474554,2115041026.5184484,1158525525.5754511,3953724.632453777,174137989.13616267,118611729.97772446,182985681.95610583,185990555.0923866,124093076.85586596,4118205.464073513,1393103915.3382735,407735274.89233494,174144929.46440563,27505676.798641913,27957357.004029963,18653175.676111747,619031.8500350591,61289138.00037642,333928421.4262392,108208911.39498529,17091277.66577722,17371939.43108974,11590574.817075165,384649.5147296775,38083399.406201564,11083021.842861138,17098092.32553333,17378866.196807954,11595196.205296876,384803.09763872874,130170946.21222611,38098583.99827239,108252056.58728929,197628395.6051706
